time;x;y;z;gforce
0,020;-0,03;-0,02;1,03;1,03
0,041;-0,05;-0,02;1,05;1,05
0,043;-0,06;-0,02;1,04;1,04
0,045;-0,06;-0,03;1,00;1,00
0,047;-0,06;-0,04;0,98;0,98
0,051;-0,06;-0,07;0,99;0,99
0,053;-0,07;-0,08;0,99;0,99
0,055;-0,06;-0,08;0,95;0,96
0,057;-0,06;-0,08;0,93;0,93
0,083;-0,07;-0,08;0,91;0,92
0,085;-0,09;-0,08;0,94;0,95
0,087;-0,08;-0,07;0,99;0,99
0,092;-0,07;-0,06;0,99;1,00
0,106;-0,07;-0,06;0,99;0,99
0,110;-0,07;-0,04;0,99;0,99
0,131;-0,09;-0,04;0,99;1,00
0,134;-0,10;-0,04;0,98;0,98
0,136;-0,10;-0,03;0,95;0,96
0,150;-0,08;-0,04;0,93;0,93
0,153;-0,07;-0,04;0,94;0,94
0,169;-0,08;-0,02;0,96;0,96
0,191;-0,08;-0,02;0,99;0,99
0,194;-0,08;-0,02;0,99;1,00
0,196;-0,07;-0,02;0,97;0,97
0,212;-0,07;-0,02;0,95;0,96
0,213;-0,07;-0,03;0,97;0,97
0,230;-0,06;-0,02;0,97;0,97
0,249;-0,05;0,00;0,97;0,97
0,251;-0,06;0,02;0,97;0,97
0,269;-0,06;0,02;0,98;0,98
0,271;-0,07;0,02;0,98;0,98
0,290;-0,08;0,02;0,99;0,99
0,292;-0,06;0,02;0,99;0,99
0,350;-0,06;0,02;0,99;0,99
0,352;-0,03;0,04;1,00;1,00
0,360;-0,01;0,05;1,02;1,02
0,363;0,00;0,06;1,03;1,03
0,371;0,01;0,06;1,03;1,03
0,388;-0,01;0,04;1,00;1,00
0,391;-0,02;0,02;1,00;1,00
0,393;-0,04;0,02;1,00;1,00
0,397;-0,05;0,01;0,99;0,99
0,399;-0,04;0,00;0,99;0,99
0,401;-0,04;-0,01;1,01;1,01
0,412;-0,05;0,00;1,04;1,04
0,414;-0,05;0,00;1,03;1,03
0,416;-0,05;-0,01;1,02;1,02
0,438;-0,05;-0,02;1,02;1,02
0,858;-0,04;-0,05;1,02;1,02
0,869;-0,02;-0,07;1,00;1,00
0,871;-0,02;-0,09;0,99;0,99
0,873;-0,02;-0,11;0,98;0,98
0,875;-0,06;-0,14;0,97;0,98
0,879;-0,11;-0,15;1,01;1,03
0,881;-0,11;-0,14;1,07;1,08
0,883;-0,06;-0,14;1,07;1,08
0,885;-0,04;-0,16;1,03;1,05
0,887;-0,04;-0,18;1,03;1,04
0,890;-0,06;-0,18;1,02;1,03
0,891;-0,03;-0,14;1,03;1,04
0,893;0,01;-0,10;1,08;1,09
0,895;0,02;-0,06;1,11;1,12
0,897;0,01;-0,05;1,11;1,11
0,899;-0,03;-0,06;1,11;1,11
0,901;-0,09;-0,10;1,11;1,11
0,903;-0,10;-0,13;1,11;1,12
0,905;-0,09;-0,14;1,11;1,12
0,906;-0,04;-0,12;1,11;1,11
0,910;0,01;-0,12;1,09;1,10
0,912;0,06;-0,12;1,07;1,08
0,914;0,10;-0,12;1,07;1,08
0,915;0,11;-0,10;1,10;1,11
0,917;0,07;-0,06;1,17;1,17
0,920;0,00;-0,03;1,27;1,27
0,921;-0,05;-0,05;1,30;1,30
0,923;-0,05;-0,06;1,25;1,25
0,925;-0,01;-0,07;1,19;1,20
0,927;0,01;-0,08;1,18;1,18
0,929;0,00;-0,10;1,18;1,18
0,931;0,02;-0,10;1,17;1,17
0,932;0,06;-0,10;1,14;1,14
0,934;0,08;-0,10;1,08;1,09
0,936;0,07;-0,09;1,07;1,07
0,938;0,05;-0,06;1,11;1,12
0,940;0,05;-0,07;1,17;1,17
0,942;0,05;-0,08;1,16;1,16
0,944;0,02;-0,09;1,12;1,12
0,945;0,02;-0,11;1,13;1,13
0,947;0,02;-0,12;1,15;1,16
0,950;0,02;-0,13;1,17;1,18
0,951;0,02;-0,14;1,18;1,19
0,953;0,03;-0,14;1,18;1,19
0,955;0,06;-0,13;1,17;1,18
0,966;0,09;-0,14;1,14;1,15
0,969;0,11;-0,15;1,09;1,11
0,971;0,08;-0,14;1,03;1,05
0,973;0,04;-0,14;1,02;1,03
0,977;0,02;-0,14;1,05;1,06
0,979;-0,01;-0,14;1,09;1,10
0,981;-0,03;-0,13;1,14;1,14
1,362;-0,03;-0,13;1,17;1,18
1,364;0,01;-0,14;1,13;1,14
1,386;0,06;-0,14;1,06;1,07
1,389;0,10;-0,15;0,96;0,98
1,391;0,13;-0,17;0,86;0,89
1,393;0,14;-0,16;0,81;0,84
1,397;0,13;-0,14;0,82;0,85
1,399;0,12;-0,13;0,86;0,87
1,401;0,09;-0,10;0,90;0,92
1,403;0,04;-0,09;0,97;0,97
1,405;-0,02;-0,09;1,04;1,04
1,407;-0,06;-0,09;1,06;1,06
1,410;-0,10;-0,09;1,02;1,03
1,412;-0,10;-0,10;0,97;0,98
1,413;-0,08;-0,09;0,94;0,95
1,415;-0,04;-0,06;0,96;0,96
1,417;-0,01;-0,04;0,97;0,97
1,419;0,01;-0,03;0,96;0,96
1,421;0,01;-0,01;0,94;0,95
1,423;-0,01;0,02;0,91;0,91
1,425;-0,01;0,00;0,90;0,90
1,426;-0,01;-0,04;0,88;0,88
1,428;-0,02;-0,10;0,88;0,89
1,431;-0,03;-0,10;0,90;0,91
1,432;-0,04;-0,07;0,90;0,91
1,434;-0,02;-0,04;0,93;0,93
1,436;-0,02;0,00;0,97;0,97
1,437;-0,04;0,02;0,99;0,99
1,440;-0,06;0,04;0,99;0,99
1,442;-0,10;0,04;0,95;0,96
1,443;-0,14;0,03;0,91;0,92
1,460;-0,13;0,01;0,87;0,88
1,462;-0,10;-0,02;0,84;0,85
1,465;-0,06;-0,03;0,82;0,82
1,467;-0,03;-0,03;0,83;0,83
1,480;0,00;0,00;0,89;0,89
1,482;0,00;0,03;0,93;0,93
1,484;-0,01;0,06;0,94;0,95
1,485;0,00;0,07;0,94;0,94
1,497;0,01;0,07;0,91;0,92
1,500;0,02;0,06;0,89;0,89
1,501;0,04;0,02;0,82;0,83
1,503;0,07;-0,02;0,77;0,77
1,505;0,10;-0,04;0,78;0,79
1,547;0,16;-0,04;0,83;0,85
1,550;0,20;-0,02;0,89;0,91
1,552;0,19;0,02;0,93;0,95
1,554;0,13;0,07;0,93;0,94
1,988;0,04;0,10;0,90;0,91
1,990;0,01;0,12;0,87;0,88
1,992;0,01;0,11;0,84;0,85
1,994;0,02;0,07;0,81;0,81
1,996;0,05;0,04;0,79;0,80
1,998;0,11;0,02;0,81;0,82
2,000;0,16;0,01;0,81;0,82
2,002;0,17;0,00;0,78;0,79
2,004;0,17;0,01;0,78;0,80
2,005;0,17;0,01;0,82;0,83
2,007;0,16;0,01;0,83;0,85
2,010;0,15;0,01;0,85;0,86
2,031;0,14;0,01;0,85;0,86
2,033;0,11;0,02;0,87;0,88
2,035;0,09;0,03;0,87;0,88
2,037;0,06;0,04;0,85;0,85
2,041;0,06;0,04;0,86;0,87
2,043;0,06;0,06;0,87;0,88
2,045;0,06;0,07;0,88;0,89
2,046;0,06;0,10;0,90;0,90
2,048;0,07;0,13;0,90;0,92
2,051;0,09;0,13;0,88;0,89
2,053;0,11;0,10;0,82;0,84
2,055;0,14;0,08;0,80;0,82
2,056;0,14;0,08;0,81;0,83
2,058;0,14;0,06;0,83;0,85
2,061;0,11;0,05;0,86;0,87
2,062;0,09;0,05;0,87;0,88
2,064;0,07;0,04;0,88;0,88
2,066;0,06;0,03;0,89;0,89
2,068;0,04;0,02;0,92;0,92
2,070;0,02;0,02;0,96;0,96
2,072;0,01;0,03;1,01;1,01
2,073;0,00;0,04;1,04;1,04
2,075;0,00;0,06;1,04;1,04
2,077;0,02;0,06;1,02;1,02
2,079;0,06;0,06;0,96;0,96
2,081;0,10;0,06;0,89;0,90
2,083;0,14;0,02;0,85;0,86
2,084;0,15;-0,03;0,82;0,84
2,086;0,15;-0,06;0,78;0,80
2,088;0,14;-0,08;0,78;0,80
2,090;0,14;-0,08;0,82;0,83
2,092;0,15;-0,06;0,86;0,87
2,094;0,13;-0,02;0,90;0,91
2,095;0,10;-0,01;0,94;0,94
2,097;0,08;0,02;0,97;0,97
2,100;0,06;0,05;1,00;1,00
2,101;0,05;0,04;1,02;1,02
2,103;0,04;0,01;1,02;1,02
2,105;0,04;-0,02;0,99;0,99
2,107;0,06;-0,05;0,95;0,96
2,482;0,06;-0,07;0,92;0,93
2,484;0,06;-0,07;0,91;0,92
2,486;0,09;-0,06;0,94;0,95
2,502;0,11;-0,04;0,96;0,97
2,505;0,10;-0,01;0,92;0,93
2,507;0,06;0,02;0,90;0,91
2,521;0,06;0,02;0,93;0,93
2,523;0,05;0,04;0,94;0,94
2,525;0,05;0,03;0,94;0,95
2,582;0,10;0,03;0,95;0,96
2,584;0,14;0,03;0,98;0,99
2,586;0,16;0,01;0,98;0,99
2,590;0,16;-0,06;0,97;0,98
2,592;0,16;-0,10;0,98;1,00
2,595;0,16;-0,11;0,99;1,01
2,597;0,14;-0,10;1,00;1,02
2,600;0,10;-0,08;1,03;1,03
2,602;0,06;-0,04;1,04;1,04
2,604;0,04;0,00;1,02;1,02
2,606;0,06;0,02;1,00;1,00
2,608;0,11;0,01;1,01;1,02
2,610;0,16;-0,02;0,99;1,01
2,612;0,18;-0,03;0,93;0,95
2,613;0,15;-0,05;0,85;0,86
2,615;0,10;-0,03;0,82;0,83
2,617;0,06;0,00;0,87;0,87
2,619;0,05;0,02;0,94;0,95
2,621;0,06;0,01;0,98;0,98
2,623;0,13;-0,02;1,01;1,02
2,625;0,18;-0,02;1,03;1,05
2,627;0,17;-0,02;0,99;1,01
2,629;0,10;-0,01;0,94;0,94
2,631;0,07;0,01;0,91;0,92
2,633;0,05;0,02;0,90;0,90
2,634;0,06;0,02;0,89;0,89
2,636;0,08;0,04;0,90;0,91
2,638;0,07;0,04;0,94;0,95
2,640;0,03;0,06;1,00;1,00
2,642;0,02;0,06;1,10;1,10
2,643;0,02;0,06;1,18;1,18
2,645;0,02;0,04;1,17;1,17
2,647;0,02;0,03;1,10;1,10
2,650;0,01;0,01;1,00;1,00
2,651;0,04;-0,02;0,94;0,95
2,653;0,10;-0,04;0,94;0,94
2,655;0,12;-0,04;0,90;0,91
2,657;0,11;-0,02;0,90;0,91
2,659;0,11;0,01;0,95;0,96
3,048;0,10;0,02;0,98;0,98
3,050;0,07;0,05;0,99;0,99
3,052;0,05;0,06;1,01;1,01
3,054;0,02;0,06;1,03;1,03
3,056;0,01;0,05;1,06;1,06
3,057;0,01;0,02;1,07;1,07
3,060;-0,01;0,02;1,05;1,05
3,062;0,01;0,02;1,02;1,02
3,063;0,04;0,02;1,00;1,00
3,065;0,06;0,02;0,74;0,75
3,067;0,13;0,03;0,60;0,61
3,083;0,19;0,07;0,68;0,71
3,086;0,15;0,07;0,96;0,98
3,100;0,04;0,10;0,96;0,97
3,102;0,02;0,09;0,97;0,97
3,103;0,06;0,05;0,98;0,98
3,150;0,07;0,01;0,99;0,99
3,155;0,06;0,00;0,99;0,99
3,157;0,04;0,02;0,99;0,99
3,161;0,05;0,02;0,98;0,98
3,163;0,06;0,02;0,98;0,98
3,164;0,06;0,05;0,97;0,97
3,166;0,06;0,06;0,97;0,97
3,168;0,06;0,04;0,98;0,98
3,171;0,06;0,04;0,97;0,97
3,173;0,06;0,02;0,98;0,98
3,175;0,06;0,02;0,98;0,98
3,177;0,06;0,03;0,99;0,99
3,179;0,06;0,01;0,99;0,99
3,181;0,05;0,01;0,99;0,99
3,183;0,05;0,01;0,99;0,99
3,184;0,04;0,02;0,99;0,99
3,186;0,03;0,02;0,99;0,99
3,189;0,03;0,02;0,99;0,99
3,191;0,02;0,02;0,99;0,99
3,193;0,03;0,01;0,98;0,98
3,195;0,02;0,02;0,97;0,97
3,196;0,02;0,02;0,96;0,96
3,198;0,02;0,00;0,97;0,97
3,201;0,02;0,01;0,97;0,97
3,202;0,01;0,00;0,97;0,97
3,204;0,00;0,00;0,99;0,99
3,206;0,00;-0,01;0,99;0,99
3,207;-0,01;-0,01;0,99;0,99
3,210;0,00;-0,01;0,99;0,99
3,212;0,00;-0,01;0,98;0,98
3,213;0,01;0,00;0,97;0,97
3,215;0,00;0,00;0,98;0,98
3,217;0,01;0,00;0,98;0,98
3,219;0,00;-0,01;0,98;0,98
3,221;0,00;-0,01;0,99;0,99
3,223;0,00;-0,01;0,98;0,98
3,587;0,01;-0,01;0,99;0,99
3,590;0,01;-0,01;0,98;0,98
3,592;0,00;-0,02;0,98;0,98
3,594;0,00;-0,01;0,99;0,99
3,595;0,01;-0,01;0,99;0,99
3,597;0,01;-0,02;0,99;0,99
3,600;0,01;-0,02;0,98;0,98
3,601;0,00;-0,02;0,97;0,97
3,603;0,00;-0,02;0,98;0,98
3,605;0,00;-0,02;0,99;0,99
3,607;0,00;-0,02;0,99;0,99
3,609;0,00;-0,02;0,99;0,99
3,611;0,01;-0,02;1,01;1,01
3,613;0,00;-0,03;1,01;1,01
3,614;0,01;-0,02;1,00;1,00
3,639;0,02;-0,02;1,06;1,06
3,643;0,01;-0,05;1,11;1,11
3,645;0,00;-0,03;0,97;0,97
3,650;0,00;-0,02;0,90;0,91
3,651;0,01;-0,05;0,96;0,96
3,653;0,01;-0,05;0,99;0,99
3,655;0,01;-0,04;0,99;0,99
3,679;0,01;-0,05;0,99;0,99
3,681;0,01;-0,04;0,99;0,99
3,683;0,01;-0,04;0,98;0,98
3,686;0,01;-0,04;0,99;0,99
3,699;0,00;-0,05;0,98;0,98
3,701;0,01;-0,04;0,99;0,99
3,703;0,01;-0,04;0,99;0,99
3,704;0,01;-0,05;0,99;0,99
3,706;0,01;-0,04;0,99;0,99
3,709;0,01;-0,05;0,99;0,99
3,711;0,01;-0,05;0,99;0,99
3,713;0,00;-0,05;0,99;0,99
3,715;0,01;-0,05;0,98;0,98
3,716;0,01;-0,04;0,99;0,99
3,740;0,01;-0,05;0,99;0,99
3,742;0,01;-0,04;0,99;0,99
3,744;0,00;-0,04;0,99;0,99
3,746;0,00;-0,04;0,98;0,98
3,753;0,01;-0,05;0,98;0,98
3,755;0,01;-0,04;0,99;0,99
3,760;0,01;-0,04;0,99;0,99
3,761;0,00;-0,04;0,98;0,98
3,763;0,00;-0,05;0,98;0,98
3,765;0,01;-0,05;0,99;0,99
3,767;0,01;-0,04;0,98;0,98
3,769;0,01;-0,04;0,99;0,99
4,155;0,01;-0,05;0,99;0,99
4,157;0,01;-0,05;0,98;0,98
4,159;0,01;-0,04;0,98;0,98
4,161;0,01;-0,04;0,99;0,99
4,163;0,01;-0,04;0,99;0,99
4,165;0,01;-0,03;0,99;0,99
4,166;0,01;-0,04;0,99;0,99
4,168;0,01;-0,03;0,99;0,99
4,171;0,01;-0,04;0,99;0,99
4,172;0,01;-0,06;0,99;0,99
4,174;0,01;-0,06;0,99;0,99
4,176;0,01;-0,06;0,98;0,98
4,178;0,01;-0,05;0,98;0,98
4,203;0,01;-0,04;0,99;0,99
4,205;0,01;-0,04;0,99;0,99
4,207;0,01;-0,04;0,99;0,99
4,210;0,01;-0,04;0,98;0,98
4,213;0,01;-0,05;0,98;0,98
4,215;0,01;-0,04;0,98;0,98
4,217;0,01;-0,04;0,99;0,99
4,220;0,01;-0,04;0,99;0,99
4,221;0,01;-0,04;0,99;0,99
4,224;0,01;-0,04;0,98;0,98
4,226;0,01;-0,04;0,98;0,98
4,242;0,00;-0,05;0,98;0,98
4,244;0,01;-0,05;0,99;0,99
4,247;0,01;-0,05;0,98;0,98
4,276;0,01;-0,04;0,98;0,98
4,279;0,01;-0,04;0,99;0,99
4,281;0,01;-0,05;0,99;0,99
4,283;0,01;-0,05;0,98;0,98
4,285;0,01;-0,04;0,98;0,98
4,286;0,01;-0,04;0,99;0,99
4,298;0,01;-0,05;0,99;0,99
4,319;0,01;-0,04;0,99;0,99
4,322;0,01;-0,05;0,99;0,99
4,324;0,01;-0,05;0,99;0,99
4,326;0,00;-0,04;0,99;0,99
4,334;0,00;-0,04;0,98;0,98
4,336;0,00;-0,05;0,98;0,98
4,340;0,01;-0,05;0,98;0,98
4,341;0,01;-0,04;0,99;0,99
4,343;0,01;-0,04;0,99;0,99
4,345;0,01;-0,04;0,98;0,98
4,347;0,01;-0,04;0,98;0,98
4,349;0,00;-0,04;0,99;0,99
4,351;0,01;-0,04;0,98;0,98
4,353;0,01;-0,04;0,98;0,98
4,355;0,01;-0,05;0,99;0,99
4,356;0,01;-0,06;0,99;0,99
4,358;0,00;-0,05;0,99;0,99
4,361;0,00;-0,04;0,99;0,99
4,702;0,01;-0,04;0,98;0,98
4,703;0,01;-0,05;0,99;0,99
4,705;0,01;-0,05;0,99;0,99
4,707;0,01;-0,05;0,98;0,98
4,709;0,00;-0,04;0,99;0,99
4,711;0,01;-0,04;0,98;0,98
4,713;0,01;-0,05;0,99;0,99
4,714;0,01;-0,04;0,99;0,99
4,716;0,01;-0,04;0,98;0,98
4,718;0,00;-0,04;0,98;0,98
4,720;0,00;-0,04;0,98;0,98
4,770;0,01;-0,04;0,99;0,99
4,772;0,00;-0,04;0,99;0,99
4,774;0,00;-0,04;0,99;0,99
4,776;0,00;-0,05;0,99;0,99
4,790;0,01;-0,05;0,99;0,99
4,792;0,01;-0,04;0,98;0,98
4,793;0,01;-0,04;0,98;0,98
4,795;0,01;-0,04;0,97;0,97
4,797;0,01;-0,04;0,98;0,98
4,816;0,01;-0,03;0,99;0,99
4,822;-0,01;-0,07;0,96;0,96
4,825;-0,01;-0,06;0,98;0,98
4,827;0,01;-0,07;0,75;0,76
4,830;-0,01;-0,08;0,27;0,28
4,832;-0,01;-0,04;-0,05;0,06
4,834;-0,01;-0,04;-0,03;0,05
4,837;-0,02;-0,04;-0,03;0,05
4,841;-0,02;-0,04;-0,03;0,05
4,843;-0,02;-0,04;-0,03;0,05
4,844;-0,02;-0,04;-0,04;0,06
4,846;-0,02;-0,04;-0,03;0,05
4,848;-0,02;-0,04;-0,03;0,05
4,850;-0,02;-0,04;-0,02;0,05
4,852;-0,02;-0,04;-0,02;0,05
4,854;-0,02;-0,03;-0,02;0,04
4,856;-0,02;-0,04;-0,02;0,05
4,857;-0,01;-0,04;-0,02;0,05
4,860;-0,01;-0,04;-0,02;0,04
4,862;-0,01;-0,03;-0,02;0,04
4,863;-0,01;-0,04;-0,02;0,04
4,865;-0,01;-0,04;-0,02;0,04
4,867;-0,01;-0,04;-0,02;0,04
4,869;-0,01;-0,04;-0,01;0,04
4,871;0,00;-0,03;-0,01;0,03
4,872;-0,01;-0,03;-0,01;0,03
4,874;0,00;-0,03;0,00;0,03
4,876;0,00;-0,04;0,00;0,04
5,327;0,00;-0,03;0,01;0,03
5,330;0,00;-0,04;0,00;0,04
5,331;0,00;-0,04;0,01;0,04
5,333;0,00;-0,04;0,01;0,04
5,335;0,00;-0,04;0,02;0,04
5,337;0,01;-0,04;0,02;0,04
5,339;0,00;-0,04;0,02;0,04
5,341;-0,01;-0,04;0,02;0,05
5,343;0,00;-0,04;0,03;0,05
5,345;0,00;-0,04;0,04;0,06
5,346;0,01;-0,04;0,04;0,06
